Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
01/01/2022,01:00,N,LZ_SOUTH,28.81
01/01/2022,02:00,N,LZ_SOUTH,21.17
01/01/2022,03:00,N,LZ_SOUTH,19.32
01/01/2022,04:00,N,LZ_SOUTH,15.43
01/01/2022,05:00,N,LZ_SOUTH,9.57
01/01/2022,06:00,N,LZ_SOUTH,12.64
01/01/2022,07:00,N,LZ_SOUTH,13.45
01/01/2022,08:00,N,LZ_SOUTH,14.76
01/01/2022,09:00,N,LZ_SOUTH,15.93
01/01/2022,10:00,N,LZ_SOUTH,17.41
01/01/2022,11:00,N,LZ_SOUTH,20.12
01/01/2022,12:00,N,LZ_SOUTH,24.27
01/01/2022,13:00,N,LZ_SOUTH,26.68
01/01/2022,14:00,N,LZ_SOUTH,29.04
01/01/2022,15:00,N,LZ_SOUTH,32.76
01/01/2022,16:00,N,LZ_SOUTH,31.62
01/01/2022,17:00,N,LZ_SOUTH,36.0
01/01/2022,18:00,N,LZ_SOUTH,46.26
01/01/2022,19:00,N,LZ_SOUTH,29.04
01/01/2022,20:00,N,LZ_SOUTH,25.62
01/01/2022,21:00,N,LZ_SOUTH,22.9
01/01/2022,22:00,N,LZ_SOUTH,22.59
01/01/2022,23:00,N,LZ_SOUTH,23.88
01/01/2022,24:00,N,LZ_SOUTH,23.22
01/02/2022,01:00,N,LZ_SOUTH,26.65
01/02/2022,02:00,N,LZ_SOUTH,24.69
01/02/2022,03:00,N,LZ_SOUTH,23.65
01/02/2022,04:00,N,LZ_SOUTH,20.31
01/02/2022,05:00,N,LZ_SOUTH,18.59
01/02/2022,06:00,N,LZ_SOUTH,20.54
01/02/2022,07:00,N,LZ_SOUTH,24.22
01/02/2022,08:00,N,LZ_SOUTH,29.65
01/02/2022,09:00,N,LZ_SOUTH,34.77
01/02/2022,10:00,N,LZ_SOUTH,30.91
01/02/2022,11:00,N,LZ_SOUTH,29.15
01/02/2022,12:00,N,LZ_SOUTH,29.4
01/02/2022,13:00,N,LZ_SOUTH,26.54
01/02/2022,14:00,N,LZ_SOUTH,23.86
01/02/2022,15:00,N,LZ_SOUTH,23.86
01/02/2022,16:00,N,LZ_SOUTH,23.04
01/02/2022,17:00,N,LZ_SOUTH,26.25
01/02/2022,18:00,N,LZ_SOUTH,70.09
01/02/2022,19:00,N,LZ_SOUTH,84.57
01/02/2022,20:00,N,LZ_SOUTH,68.38
01/02/2022,21:00,N,LZ_SOUTH,60.82
01/02/2022,22:00,N,LZ_SOUTH,48.79
01/02/2022,23:00,N,LZ_SOUTH,39.71
01/02/2022,24:00,N,LZ_SOUTH,36.95
01/03/2022,01:00,N,LZ_SOUTH,31.16
01/03/2022,02:00,N,LZ_SOUTH,30.57
01/03/2022,03:00,N,LZ_SOUTH,30.15
01/03/2022,04:00,N,LZ_SOUTH,29.76
01/03/2022,05:00,N,LZ_SOUTH,31.17
01/03/2022,06:00,N,LZ_SOUTH,39.21
01/03/2022,07:00,N,LZ_SOUTH,94.12
01/03/2022,08:00,N,LZ_SOUTH,100.28
01/03/2022,09:00,N,LZ_SOUTH,47.36
01/03/2022,10:00,N,LZ_SOUTH,35.07
01/03/2022,11:00,N,LZ_SOUTH,31.51
01/03/2022,12:00,N,LZ_SOUTH,29.61
01/03/2022,13:00,N,LZ_SOUTH,29.22
01/03/2022,14:00,N,LZ_SOUTH,27.97
01/03/2022,15:00,N,LZ_SOUTH,27.46
01/03/2022,16:00,N,LZ_SOUTH,25.71
01/03/2022,17:00,N,LZ_SOUTH,29.05
01/03/2022,18:00,N,LZ_SOUTH,49.02
01/03/2022,19:00,N,LZ_SOUTH,36.16
01/03/2022,20:00,N,LZ_SOUTH,31.39
01/03/2022,21:00,N,LZ_SOUTH,30.97
01/03/2022,22:00,N,LZ_SOUTH,29.33
01/03/2022,23:00,N,LZ_SOUTH,27.08
01/03/2022,24:00,N,LZ_SOUTH,24.76
01/04/2022,01:00,N,LZ_SOUTH,18.75
01/04/2022,02:00,N,LZ_SOUTH,17.71
01/04/2022,03:00,N,LZ_SOUTH,18.68
01/04/2022,04:00,N,LZ_SOUTH,20.82
01/04/2022,05:00,N,LZ_SOUTH,23.61
01/04/2022,06:00,N,LZ_SOUTH,26.83
01/04/2022,07:00,N,LZ_SOUTH,41.98
01/04/2022,08:00,N,LZ_SOUTH,44.73
01/04/2022,09:00,N,LZ_SOUTH,37.16
01/04/2022,10:00,N,LZ_SOUTH,30.53
01/04/2022,11:00,N,LZ_SOUTH,26.73
01/04/2022,12:00,N,LZ_SOUTH,23.89
01/04/2022,13:00,N,LZ_SOUTH,21.17
01/04/2022,14:00,N,LZ_SOUTH,20.05
01/04/2022,15:00,N,LZ_SOUTH,18.67
01/04/2022,16:00,N,LZ_SOUTH,18.27
01/04/2022,17:00,N,LZ_SOUTH,21.72
01/04/2022,18:00,N,LZ_SOUTH,44.19
01/04/2022,19:00,N,LZ_SOUTH,34.22
01/04/2022,20:00,N,LZ_SOUTH,29.18
01/04/2022,21:00,N,LZ_SOUTH,25.7
01/04/2022,22:00,N,LZ_SOUTH,23.94
01/04/2022,23:00,N,LZ_SOUTH,24.59
01/04/2022,24:00,N,LZ_SOUTH,22.72
01/05/2022,01:00,N,LZ_SOUTH,19.76
01/05/2022,02:00,N,LZ_SOUTH,19.88
01/05/2022,03:00,N,LZ_SOUTH,20.7
01/05/2022,04:00,N,LZ_SOUTH,21.87
01/05/2022,05:00,N,LZ_SOUTH,24.51
01/05/2022,06:00,N,LZ_SOUTH,29.3
01/05/2022,07:00,N,LZ_SOUTH,32.85
01/05/2022,08:00,N,LZ_SOUTH,35.03
01/05/2022,09:00,N,LZ_SOUTH,27.91
01/05/2022,10:00,N,LZ_SOUTH,24.6
01/05/2022,11:00,N,LZ_SOUTH,23.96
01/05/2022,12:00,N,LZ_SOUTH,24.26
01/05/2022,13:00,N,LZ_SOUTH,24.08
01/05/2022,14:00,N,LZ_SOUTH,23.78
01/05/2022,15:00,N,LZ_SOUTH,23.52
01/05/2022,16:00,N,LZ_SOUTH,23.43
01/05/2022,17:00,N,LZ_SOUTH,25.42
01/05/2022,18:00,N,LZ_SOUTH,60.26
01/05/2022,19:00,N,LZ_SOUTH,47.22
01/05/2022,20:00,N,LZ_SOUTH,34.4
01/05/2022,21:00,N,LZ_SOUTH,31.25
01/05/2022,22:00,N,LZ_SOUTH,25.01
01/05/2022,23:00,N,LZ_SOUTH,26.64
01/05/2022,24:00,N,LZ_SOUTH,25.13
01/06/2022,01:00,N,LZ_SOUTH,25.05
01/06/2022,02:00,N,LZ_SOUTH,23.12
01/06/2022,03:00,N,LZ_SOUTH,22.91
01/06/2022,04:00,N,LZ_SOUTH,22.27
01/06/2022,05:00,N,LZ_SOUTH,24.27
01/06/2022,06:00,N,LZ_SOUTH,25.47
01/06/2022,07:00,N,LZ_SOUTH,28.68
01/06/2022,08:00,N,LZ_SOUTH,29.26
01/06/2022,09:00,N,LZ_SOUTH,27.77
01/06/2022,10:00,N,LZ_SOUTH,25.82
01/06/2022,11:00,N,LZ_SOUTH,25.32
01/06/2022,12:00,N,LZ_SOUTH,25.71
01/06/2022,13:00,N,LZ_SOUTH,26.92
01/06/2022,14:00,N,LZ_SOUTH,27.08
01/06/2022,15:00,N,LZ_SOUTH,25.64
01/06/2022,16:00,N,LZ_SOUTH,25.86
01/06/2022,17:00,N,LZ_SOUTH,28.59
01/06/2022,18:00,N,LZ_SOUTH,55.57
01/06/2022,19:00,N,LZ_SOUTH,43.87
01/06/2022,20:00,N,LZ_SOUTH,36.35
01/06/2022,21:00,N,LZ_SOUTH,33.07
01/06/2022,22:00,N,LZ_SOUTH,22.91
01/06/2022,23:00,N,LZ_SOUTH,22.64
01/06/2022,24:00,N,LZ_SOUTH,23.8
01/07/2022,01:00,N,LZ_SOUTH,21.1
01/07/2022,02:00,N,LZ_SOUTH,21.35
01/07/2022,03:00,N,LZ_SOUTH,22.7
01/07/2022,04:00,N,LZ_SOUTH,24.45
01/07/2022,05:00,N,LZ_SOUTH,26.8
01/07/2022,06:00,N,LZ_SOUTH,29.61
01/07/2022,07:00,N,LZ_SOUTH,72.7
01/07/2022,08:00,N,LZ_SOUTH,58.84
01/07/2022,09:00,N,LZ_SOUTH,39.84
01/07/2022,10:00,N,LZ_SOUTH,30.43
01/07/2022,11:00,N,LZ_SOUTH,26.67
01/07/2022,12:00,N,LZ_SOUTH,27.07
01/07/2022,13:00,N,LZ_SOUTH,25.28
01/07/2022,14:00,N,LZ_SOUTH,25.27
01/07/2022,15:00,N,LZ_SOUTH,22.04
01/07/2022,16:00,N,LZ_SOUTH,21.86
01/07/2022,17:00,N,LZ_SOUTH,23.39
01/07/2022,18:00,N,LZ_SOUTH,28.84
01/07/2022,19:00,N,LZ_SOUTH,29.44
01/07/2022,20:00,N,LZ_SOUTH,26.47
01/07/2022,21:00,N,LZ_SOUTH,25.28
01/07/2022,22:00,N,LZ_SOUTH,25.15
01/07/2022,23:00,N,LZ_SOUTH,25.98
01/07/2022,24:00,N,LZ_SOUTH,25.28
01/08/2022,01:00,N,LZ_SOUTH,37.23
01/08/2022,02:00,N,LZ_SOUTH,31.6
01/08/2022,03:00,N,LZ_SOUTH,28.52
01/08/2022,04:00,N,LZ_SOUTH,27.3
01/08/2022,05:00,N,LZ_SOUTH,28.57
01/08/2022,06:00,N,LZ_SOUTH,26.96
01/08/2022,07:00,N,LZ_SOUTH,28.59
01/08/2022,08:00,N,LZ_SOUTH,33.67
01/08/2022,09:00,N,LZ_SOUTH,39.1
01/08/2022,10:00,N,LZ_SOUTH,39.67
