Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/01/2022,1,1,N,LZ_SOUTH,LZ,47.84
01/01/2022,1,2,N,LZ_SOUTH,LZ,77.81
01/01/2022,1,3,N,LZ_SOUTH,LZ,34.42
01/01/2022,1,4,N,LZ_SOUTH,LZ,30.94
01/01/2022,2,1,N,LZ_SOUTH,LZ,28.69
01/01/2022,2,2,N,LZ_SOUTH,LZ,27.46
01/01/2022,2,3,N,LZ_SOUTH,LZ,29.13
01/01/2022,2,4,N,LZ_SOUTH,LZ,23.47
01/01/2022,3,1,N,LZ_SOUTH,LZ,21.52
01/01/2022,3,2,N,LZ_SOUTH,LZ,17.63
01/01/2022,3,3,N,LZ_SOUTH,LZ,17.08
01/01/2022,3,4,N,LZ_SOUTH,LZ,16.36
01/01/2022,4,1,N,LZ_SOUTH,LZ,18.16
01/01/2022,4,2,N,LZ_SOUTH,LZ,17.7
01/01/2022,4,3,N,LZ_SOUTH,LZ,17.1
01/01/2022,4,4,N,LZ_SOUTH,LZ,16.13
01/01/2022,5,1,N,LZ_SOUTH,LZ,5.5
01/01/2022,5,2,N,LZ_SOUTH,LZ,9.35
01/01/2022,5,3,N,LZ_SOUTH,LZ,15.51
01/01/2022,5,4,N,LZ_SOUTH,LZ,16.73
01/01/2022,6,1,N,LZ_SOUTH,LZ,16.97
01/01/2022,6,2,N,LZ_SOUTH,LZ,11.18
01/01/2022,6,3,N,LZ_SOUTH,LZ,1.38
01/01/2022,6,4,N,LZ_SOUTH,LZ,12.69
01/01/2022,7,1,N,LZ_SOUTH,LZ,6.43
01/01/2022,7,2,N,LZ_SOUTH,LZ,3.01
01/01/2022,7,3,N,LZ_SOUTH,LZ,13.38
01/01/2022,7,4,N,LZ_SOUTH,LZ,18.4
01/01/2022,8,1,N,LZ_SOUTH,LZ,18.07
01/01/2022,8,2,N,LZ_SOUTH,LZ,7.82
01/01/2022,8,3,N,LZ_SOUTH,LZ,1.18
01/01/2022,8,4,N,LZ_SOUTH,LZ,13.66
01/01/2022,9,1,N,LZ_SOUTH,LZ,24.15
01/01/2022,9,2,N,LZ_SOUTH,LZ,23.16
01/01/2022,9,3,N,LZ_SOUTH,LZ,1.39
01/01/2022,9,4,N,LZ_SOUTH,LZ,1.3
01/01/2022,10,1,N,LZ_SOUTH,LZ,2.24
01/01/2022,10,2,N,LZ_SOUTH,LZ,2.36
01/01/2022,10,3,N,LZ_SOUTH,LZ,3.7
01/01/2022,10,4,N,LZ_SOUTH,LZ,7.22
01/01/2022,11,1,N,LZ_SOUTH,LZ,24.02
01/01/2022,11,2,N,LZ_SOUTH,LZ,25.2
01/01/2022,11,3,N,LZ_SOUTH,LZ,26.23
01/01/2022,11,4,N,LZ_SOUTH,LZ,26.2
01/01/2022,12,1,N,LZ_SOUTH,LZ,26.37
01/01/2022,12,2,N,LZ_SOUTH,LZ,26.05
01/01/2022,12,3,N,LZ_SOUTH,LZ,21.9
01/01/2022,12,4,N,LZ_SOUTH,LZ,22.86
01/01/2022,13,1,N,LZ_SOUTH,LZ,23.29
01/01/2022,13,2,N,LZ_SOUTH,LZ,24.53
01/01/2022,13,3,N,LZ_SOUTH,LZ,27.32
01/01/2022,13,4,N,LZ_SOUTH,LZ,29.24
01/01/2022,14,1,N,LZ_SOUTH,LZ,26.64
01/01/2022,14,2,N,LZ_SOUTH,LZ,26.01
01/01/2022,14,3,N,LZ_SOUTH,LZ,29.7
01/01/2022,14,4,N,LZ_SOUTH,LZ,27.78
01/01/2022,15,1,N,LZ_SOUTH,LZ,27.23
01/01/2022,15,2,N,LZ_SOUTH,LZ,27.54
01/01/2022,15,3,N,LZ_SOUTH,LZ,28.52
01/01/2022,15,4,N,LZ_SOUTH,LZ,29.82
01/01/2022,16,1,N,LZ_SOUTH,LZ,49.53
01/01/2022,16,2,N,LZ_SOUTH,LZ,50.5
01/01/2022,16,3,N,LZ_SOUTH,LZ,66.46
01/01/2022,16,4,N,LZ_SOUTH,LZ,24.39
01/01/2022,17,1,N,LZ_SOUTH,LZ,26.05
01/01/2022,17,2,N,LZ_SOUTH,LZ,26.64
01/01/2022,17,3,N,LZ_SOUTH,LZ,58.22
01/01/2022,17,4,N,LZ_SOUTH,LZ,71.69
01/01/2022,18,1,N,LZ_SOUTH,LZ,74.75
01/01/2022,18,2,N,LZ_SOUTH,LZ,26.16
01/01/2022,18,3,N,LZ_SOUTH,LZ,25.95
01/01/2022,18,4,N,LZ_SOUTH,LZ,25.62
01/01/2022,19,1,N,LZ_SOUTH,LZ,24.36
01/01/2022,19,2,N,LZ_SOUTH,LZ,24.57
01/01/2022,19,3,N,LZ_SOUTH,LZ,24.39
